Supplier,Description,Date,Total
ACCO OIL COMPANY LIMITED,Office Rental and Related Fees,2022/04/01,2880.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/04/01,82.60
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/04/01,248.00
Dane lee,Employees’ Primary Residence Internet (COVID-19),2022/04/01,119.99
Data Sciences,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/04/01,137.99
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/04/02,141.86
Rogers,Constituency Office Internet,2022/04/06,112.99
Savarin Springs Inc,Spring Water,2022/04/14,22.50
Village Media Inc,Advertising,2022/04/15,500.00
Energy  + Inc.,Public Utilities,2022/04/22,125.58
Bell Mobility – Bell Mobilité,Telecommunications Equipment Parts,2022/04/25,86.23
Bell Mobility – Bell Mobilité,Voice Communication Equipment,2022/04/25,366.81
Apple Canada Inc.,Repair of Telecommunication Equipment,2022/04/26,122.00
Canada Post – Postes Canada,Courier Services,2022/04/27,6.76
Canada Post – Postes Canada,Courier Services,2022/04/27,8.29
Canada Post – Postes Canada,Courier Services,2022/04/27,14.51
ACCO OIL COMPANY LIMITED,Office Rental and Related Fees,2022/05/01,2880.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/05/01,107.03
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/05/01,248.00
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/05/02,146.11
Rogers,Constituency Office Internet,2022/05/06,99.99
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2022/05/11,273.68
Star Metroland Media,Advertising,2022/05/15,275.00
Village Media Inc,Advertising,2022/05/15,500.00
Savarin Springs Inc,Spring Water,2022/05/16,22.50
Energy  + Inc.,Public Utilities,2022/05/20,118.60
"City of Cambridge Tax and Water Division, The",Public Utilities,2022/05/25,49.75
Canada Post – Postes Canada,Courier Services,2022/05/30,8.58
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/05/31,29.97
ACCO OIL COMPANY LIMITED,Office Rental and Related Fees,2022/06/01,2880.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2022/06/01,262.78
Bell Mobility – Bell Mobilité,Voice and data plan for mobile devices,2022/06/01,248.00
Rogers,Constituency Office Internet,2022/06/06,112.99
Savarin Springs Inc,Spring Water,2022/06/06,22.50
"AYR NEWS LIMITED, THE",Advertising,2022/06/13,300.00
ACCO OIL COMPANY LIMITED,"Repair of Heating, Air Conditioning and Refrigeration Equipment",2022/06/14,100.52
Village Media Inc,Advertising,2022/06/15,500.00
Dane Lee,"Office Supplies, Stationery and Accessories",2022/06/16,13.93
Dane Lee,"Office Supplies, Stationery and Accessories",2022/06/16,62.46
ACCO OIL COMPANY LIMITED,Office Rental and Related Fees,2022/07/01,2880.00
